Sales Person,Country,Product,Date,Amount,Boxes Shipped,Payment Type,Time of Day,Unnamed: 8
Kelci Walkden,Canada,Baker's Choco Chips,26-05-2022,3073.0,302,Cash,Morning,
Karlen McCaffrey,India,Almond Choco,06-07-2022,6090.0,149,Card,Evening,
Oby Sorrel,India,99% Dark & Pure,27-05-2022,10255.0,11,UPI,Morning,
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14-04-2022,2030.0,11,Card,Afternoon,
Van Tuxwell,Australia,Organic Choco Syrup,10-08-2022,19453.0,14,Card,Afternoon,
Camilla Castle,India,50% Dark Bites,04-07-2022,9275.0,411,UPI,Afternoon,
Oby Sorrel,India,Organic Choco Syrup,08-07-2022,6181.0,56,Card,Afternoon,
Jan Morforth,USA,Peanut Butter Cubes,22-07-2022,9037.0,102,Cash,Afternoon,
Gigi Bohling,USA,Choco Coated Almonds,02-03-2022,12313.0,103,Card,Afternoon,
Gigi Bohling,UK,Almond Choco,10-01-2022,5642.0,9,Card,Morning,
Jehu Rudeforth,New Zealand,White Choc,11-03-2022,2800.0,241,Card,Evening,
Andria Kimpton,New Zealand,Peanut Butter Cubes,20-06-2022,959.0,265,Cash,Afternoon,
Van Tuxwell,UK,Organic Choco Syrup,26-08-2022,2002.0,214,Cash,Afternoon,
Roddy Speechley,Canada,Milk Bars,13-07-2022,609.0,32,Cash,Afternoon,
Camilla Castle,USA,Spicy Special Slims,11-02-2022,1274.0,244,Card,Morning,
Marney O'Breen,USA,Orange Choco,27-01-2022,7595.0,181,Card,Afternoon,
Van Tuxwell,UK,99% Dark & Pure,31-01-2022,4725.0,137,Cash,Afternoon,
Camilla Castle,USA,White Choc,18-08-2022,9681.0,24,Cash,Afternoon,
Andria Kimpton,USA,Raspberry Choco,30-06-2022,14504.0,21,Cash,Evening,
Dotty Strutley,Australia,Fruit & Nut Bars,23-08-2022,280.0,311,Cash,Afternoon,
Brien Boise,New Zealand,Mint Chip Choco,01-08-2022,63.0,181,Cash,Evening,
Roddy Speechley,New Zealand,After Nines,25-05-2022,8001.0,10,Card,Afternoon,
Roddy Speechley,Canada,Organic Choco Syrup,10-01-2022,4032.0,82,Cash,Morning,
Dennison Crosswaite,Australia,70% Dark Bites,07-02-2022,5859.0,108,Card,Evening,
Karlen McCaffrey,USA,Orange Choco,12-05-2022,11095.0,401,Card,Morning,
Madelene Upcott,Australia,Spicy Special Slims,07-03-2022,7182.0,408,Card,Afternoon,
Dennison Crosswaite,Australia,85% Dark Bars,05-04-2022,6881.0,420,Card,Morning,
Andria Kimpton,Canada,Caramel Stuffed Bars,03-01-2022,7154.0,348,Card,Evening,
Dennison Crosswaite,UK,Eclairs,24-03-2022,6188.0,270,Cash,Afternoon,
Madelene Upcott,India,Raspberry Choco,07-07-2022,4221.0,9,UPI,Evening,
Van Tuxwell,USA,After Nines,26-07-2022,630.0,264,Card,Morning,
Wilone O'Kielt,Australia,Organic Choco Syrup,07-07-2022,1743.0,111,Cash,Afternoon,
Karlen McCaffrey,Canada,50% Dark Bites,15-07-2022,2919.0,65,Card,Morning,
Roddy Speechley,New Zealand,Orange Choco,01-04-2022,49.0,97,Card,Evening,
Beverie Moffet,Australia,Eclairs,20-06-2022,1827.0,6,Card,Evening,
Kelci Walkden,UK,Fruit & Nut Bars,29-06-2022,13006.0,482,Card,Afternoon,
Marney O'Breen,USA,50% Dark Bites,15-06-2022,1064.0,106,Card,Afternoon,
Husein Augar,USA,After Nines,08-04-2022,11571.0,180,Card,Morning,
Dennison Crosswaite,Australia,Raspberry Choco,14-03-2022,5740.0,31,Cash,Morning,
Andria Kimpton,USA,Fruit & Nut Bars,15-07-2022,1456.0,359,Cash,Morning,
Kelci Walkden,India,Eclairs,19-04-2022,5334.0,80,UPI,Afternoon,
Marney O'Breen,USA,99% Dark & Pure,28-03-2022,4151.0,296,Cash,Afternoon,
Brien Boise,Canada,Spicy Special Slims,04-03-2022,8106.0,101,Cash,Afternoon,
Karlen McCaffrey,New Zealand,70% Dark Bites,02-08-2022,126.0,40,Card,Afternoon,
Husein Augar,UK,Spicy Special Slims,25-08-2022,4697.0,42,Card,Afternoon,
Marney O'Breen,USA,Almond Choco,25-02-2022,7798.0,167,Card,Evening,
Kelci Walkden,India,Orange Choco,07-06-2022,9408.0,138,Cash,Evening,
Jan Morforth,India,Spicy Special Slims,12-04-2022,1939.0,520,UPI,Morning,
Ches Bonnell,India,Spicy Special Slims,06-07-2022,10906.0,94,Cash,Morning,
Kelci Walkden,UK,Smooth Sliky Salty,19-01-2022,5929.0,175,Cash,Evening,
Madelene Upcott,Australia,Fruit & Nut Bars,05-01-2022,5579.0,92,Cash,Evening,
Madelene Upcott,Canada,70% Dark Bites,24-01-2022,10927.0,141,Card,Evening,
Wilone O'Kielt,Australia,Drinking Coco,06-04-2022,623.0,283,Cash,Afternoon,
Gunar Cockshoot,Australia,Fruit & Nut Bars,15-06-2022,6013.0,21,Cash,Morning,
Gigi Bohling,Canada,Baker's Choco Chips,28-01-2022,1505.0,47,Cash,Morning,
Kelci Walkden,India,Caramel Stuffed Bars,16-03-2022,476.0,125,Card,Afternoon,
Rafaelita Blaksland,Australia,Drinking Coco,21-02-2022,11550.0,396,Card,Afternoon,
Kelci Walkden,USA,Manuka Honey Choco,16-02-2022,17318.0,87,Card,Afternoon,
Jehu Rudeforth,Canada,Spicy Special Slims,13-01-2022,1848.0,27,Cash,Evening,
Kelci Walkden,Australia,Eclairs,23-03-2022,7273.0,547,Cash,Morning,
Curtice Advani,Canada,Spicy Special Slims,16-06-2022,854.0,118,Cash,Evening,
Oby Sorrel,India,Raspberry Choco,14-04-2022,6832.0,46,UPI,Afternoon,
Kelci Walkden,UK,Eclairs,25-01-2022,4606.0,57,Cash,Morning,
Jan Morforth,India,Almond Choco,11-03-2022,4466.0,22,Card,Evening,
Dotty Strutley,UK,Almond Choco,28-07-2022,16114.0,96,Card,Evening,
Marney O'Breen,New Zealand,After Nines,09-03-2022,1561.0,44,Card,Evening,
Husein Augar,Australia,Orange Choco,28-06-2022,8897.0,188,Cash,Morning,
Marney O'Breen,Australia,Milk Bars,28-07-2022,2464.0,387,Card,Morning,
Kelci Walkden,Canada,99% Dark & Pure,15-08-2022,4830.0,50,Cash,Afternoon,
Kaine Padly,Australia,Manuka Honey Choco,12-01-2022,2765.0,264,Cash,Evening,
Beverie Moffet,New Zealand,White Choc,24-03-2022,7126.0,7,Card,Morning,
Van Tuxwell,UK,Milk Bars,25-07-2022,4263.0,90,Cash,Evening,
Oby Sorrel,Canada,99% Dark & Pure,01-08-2022,3605.0,403,Cash,Morning,
Van Tuxwell,India,Organic Choco Syrup,16-05-2022,19929.0,174,UPI,Evening,
Roddy Speechley,India,Smooth Sliky Salty,10-08-2022,5103.0,140,Card,Afternoon,
Jan Morforth,India,Eclairs,05-01-2022,2541.0,27,UPI,Evening,
Ches Bonnell,UK,Smooth Sliky Salty,11-07-2022,5663.0,110,Cash,Afternoon,
Wilone O'Kielt,USA,After Nines,25-04-2022,392.0,30,Card,Morning,
Gigi Bohling,New Zealand,Fruit & Nut Bars,04-04-2022,10976.0,121,Card,Morning,
Barr Faughny,USA,Raspberry Choco,12-04-2022,9282.0,101,Cash,Evening,
Wilone O'Kielt,New Zealand,85% Dark Bars,02-08-2022,1827.0,117,Cash,Morning,
Gigi Bohling,New Zealand,Manuka Honey Choco,28-06-2022,8267.0,272,Card,Evening,
Ches Bonnell,Australia,Eclairs,05-07-2022,4116.0,128,Card,Morning,
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,07-06-2022,2093.0,45,Card,Morning,
Brien Boise,New Zealand,Smooth Sliky Salty,18-01-2022,1015.0,27,Cash,Morning,
Brien Boise,Australia,Baker's Choco Chips,04-01-2022,12516.0,212,Cash,Morning,
Dennison Crosswaite,Australia,99% Dark & Pure,31-01-2022,2758.0,18,Card,Afternoon,
Kelci Walkden,India,Almond Choco,14-03-2022,3297.0,149,Card,Afternoon,
Camilla Castle,Australia,70% Dark Bites,29-04-2022,6048.0,477,Cash,Morning,
Oby Sorrel,India,Smooth Sliky Salty,07-02-2022,10101.0,108,UPI,Morning,
Kaine Padly,UK,Organic Choco Syrup,31-03-2022,2282.0,178,Cash,Morning,
Marney O'Breen,India,Caramel Stuffed Bars,16-03-2022,4361.0,81,UPI,Morning,
Karlen McCaffrey,UK,Eclairs,25-01-2022,7798.0,196,Cash,Afternoon,
Van Tuxwell,India,Baker's Choco Chips,20-06-2022,3052.0,447,Cash,Morning,
Gigi Bohling,UK,After Nines,29-03-2022,8029.0,175,Card,Afternoon,
Curtice Advani,Australia,Orange Choco,12-07-2022,854.0,136,Cash,Afternoon,
Jehu Rudeforth,Canada,Smooth Sliky Salty,11-07-2022,5460.0,138,Card,Afternoon,
Karlen McCaffrey,Canada,Smooth Sliky Salty,19-01-2022,3017.0,184,Cash,Evening,
Andria Kimpton,USA,85% Dark Bars,05-04-2022,8911.0,82,Cash,Evening,
Jehu Rudeforth,Canada,Milk Bars,21-02-2022,7203.0,12,Cash,Afternoon,
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20-05-2022,13083.0,14,Cash,Evening,
Mallorie Waber,Australia,Milk Bars,29-07-2022,2779.0,104,Cash,Morning,
Barr Faughny,USA,Fruit & Nut Bars,28-01-2022,9058.0,46,Card,Afternoon,
Marney O'Breen,UK,Caramel Stuffed Bars,19-07-2022,3549.0,112,Card,Morning,
Mallorie Waber,New Zealand,Manuka Honey Choco,13-04-2022,9436.0,11,Card,Evening,
Roddy Speechley,India,Peanut Butter Cubes,11-02-2022,10283.0,21,UPI,Evening,
Roddy Speechley,New Zealand,Milk Bars,02-03-2022,5446.0,116,Cash,Evening,
Ches Bonnell,Australia,White Choc,02-03-2022,1043.0,202,Cash,Afternoon,
Van Tuxwell,USA,99% Dark & Pure,28-07-2022,12586.0,6,Cash,Evening,
Kelci Walkden,India,After Nines,07-01-2022,1687.0,520,UPI,Evening,
Brien Boise,UK,White Choc,12-04-2022,5299.0,167,Cash,Afternoon,
Van Tuxwell,Canada,Almond Choco,27-06-2022,3213.0,72,Cash,Evening,
Jehu Rudeforth,Australia,50% Dark Bites,14-01-2022,5194.0,418,Card,Afternoon,
Karlen McCaffrey,UK,Baker's Choco Chips,07-02-2022,4753.0,389,Card,Evening,
Jehu Rudeforth,Australia,Orange Choco,23-03-2022,13706.0,26,Card,Morning,
Marney O'Breen,India,Peanut Butter Cubes,10-01-2022,6489.0,146,UPI,Evening,
Oby Sorrel,UK,Choco Coated Almonds,17-03-2022,9324.0,41,Card,Afternoon,
Gigi Bohling,USA,Spicy Special Slims,21-01-2022,10829.0,54,Cash,Afternoon,
Barr Faughny,Australia,White Choc,04-07-2022,8113.0,370,Cash,Afternoon,
Kaine Padly,Canada,Peanut Butter Cubes,04-07-2022,3269.0,176,Cash,Morning,
Dotty Strutley,USA,Manuka Honey Choco,10-08-2022,273.0,210,Card,Morning,
Dennison Crosswaite,Australia,50% Dark Bites,01-04-2022,7287.0,12,Card,Afternoon,
Gigi Bohling,India,Raspberry Choco,22-02-2022,2583.0,159,UPI,Evening,
Camilla Castle,UK,White Choc,03-01-2022,9982.0,187,Card,Morning,
Karlen McCaffrey,India,Drinking Coco,31-05-2022,4795.0,233,UPI,Evening,
Dotty Strutley,UK,99% Dark & Pure,03-01-2022,9310.0,282,Card,Afternoon,
Husein Augar,New Zealand,Caramel Stuffed Bars,27-01-2022,497.0,475,Card,Evening,
Barr Faughny,UK,50% Dark Bites,28-01-2022,581.0,65,Cash,Morning,
Curtice Advani,Australia,Organic Choco Syrup,28-06-2022,3472.0,311,Cash,Morning,
Husein Augar,UK,Choco Coated Almonds,02-03-2022,4333.0,43,Card,Afternoon,
Wilone O'Kielt,Australia,After Nines,27-05-2022,3325.0,26,Cash,Evening,
Dennison Crosswaite,USA,Almond Choco,30-06-2022,11718.0,84,Card,Evening,
Barr Faughny,Canada,Peanut Butter Cubes,07-06-2022,2100.0,78,Cash,Afternoon,
Kaine Padly,USA,70% Dark Bites,12-05-2022,4018.0,100,Card,Morning,
Barr Faughny,New Zealand,Raspberry Choco,29-07-2022,6468.0,66,Card,Afternoon,
Dennison Crosswaite,UK,White Choc,03-08-2022,7238.0,265,Cash,Evening,
Barr Faughny,India,Baker's Choco Chips,18-08-2022,6454.0,141,UPI,Morning,
Van Tuxwell,New Zealand,Smooth Sliky Salty,14-06-2022,3115.0,42,Cash,Afternoon,
Beverie Moffet,UK,White Choc,30-06-2022,6475.0,76,Cash,Morning,
Camilla Castle,New Zealand,Mint Chip Choco,13-06-2022,1162.0,190,Card,Morning,
Ches Bonnell,UK,Orange Choco,27-04-2022,14238.0,54,Card,Evening,
Jan Morforth,Australia,White Choc,27-07-2022,3472.0,32,Cash,Morning,
Mallorie Waber,Canada,85% Dark Bars,20-04-2022,1428.0,424,Card,Morning,
Rafaelita Blaksland,India,Spicy Special Slims,04-01-2022,8064.0,134,UPI,Afternoon,
Ches Bonnell,Australia,Mint Chip Choco,21-02-2022,9660.0,92,Cash,Morning,
Karlen McCaffrey,Australia,White Choc,05-01-2022,7357.0,48,Card,Evening,
Beverie Moffet,India,Drinking Coco,15-07-2022,6055.0,46,Cash,Evening,
Brien Boise,Australia,Choco Coated Almonds,25-05-2022,5124.0,62,Cash,Afternoon,
Karlen McCaffrey,Canada,Eclairs,20-04-2022,3479.0,358,Cash,Evening,
Gigi Bohling,USA,99% Dark & Pure,02-06-2022,784.0,249,Card,Evening,
Marney O'Breen,UK,Smooth Sliky Salty,13-05-2022,18991.0,88,Card,Afternoon,
Beverie Moffet,New Zealand,Baker's Choco Chips,03-08-2022,1372.0,144,Cash,Evening,
Beverie Moffet,Australia,Milk Bars,25-05-2022,735.0,390,Card,Evening,
Van Tuxwell,UK,Raspberry Choco,16-03-2022,6538.0,79,Cash,Evening,
Jan Morforth,Australia,Orange Choco,04-07-2022,3199.0,122,Card,Afternoon,
Jehu Rudeforth,India,50% Dark Bites,05-07-2022,3472.0,135,UPI,Evening,
Madelene Upcott,USA,After Nines,15-03-2022,4571.0,430,Card,Morning,
Barr Faughny,UK,Raspberry Choco,22-08-2022,5481.0,69,Cash,Morning,
Ches Bonnell,Australia,70% Dark Bites,12-01-2022,3136.0,125,Card,Morning,
Marney O'Breen,UK,Baker's Choco Chips,10-06-2022,252.0,154,Cash,Morning,
Kaine Padly,Australia,Peanut Butter Cubes,25-03-2022,5460.0,286,Cash,Evening,
Rafaelita Blaksland,India,Almond Choco,27-07-2022,3395.0,99,UPI,Morning,
Husein Augar,UK,Caramel Stuffed Bars,15-04-2022,14938.0,433,Card,Evening,
Roddy Speechley,India,Orange Choco,27-06-2022,4053.0,19,UPI,Afternoon,
Jehu Rudeforth,UK,70% Dark Bites,14-04-2022,5565.0,258,Card,Morning,
Husein Augar,Australia,Manuka Honey Choco,15-03-2022,7161.0,92,Card,Evening,
Madelene Upcott,USA,Eclairs,18-03-2022,8883.0,200,Card,Morning,
Brien Boise,India,Eclairs,29-04-2022,1351.0,61,UPI,Afternoon,
Mallorie Waber,New Zealand,White Choc,25-02-2022,3171.0,246,Card,Morning,
Husein Augar,USA,Milk Bars,02-03-2022,854.0,56,Cash,Evening,
Van Tuxwell,Australia,Milk Bars,20-06-2022,7910.0,87,Card,Afternoon,
Beverie Moffet,Canada,White Choc,15-07-2022,9275.0,173,Cash,Evening,
Dotty Strutley,Australia,50% Dark Bites,12-05-2022,3108.0,252,Card,Afternoon,
Mallorie Waber,New Zealand,Organic Choco Syrup,01-07-2022,5075.0,256,Card,Morning,
Husein Augar,USA,85% Dark Bars,08-08-2022,378.0,54,Cash,Afternoon,
Madelene Upcott,Australia,50% Dark Bites,25-07-2022,7350.0,6,Card,Afternoon,
Wilone O'Kielt,UK,Drinking Coco,18-05-2022,3388.0,55,Cash,Morning,
Camilla Castle,India,Peanut Butter Cubes,15-07-2022,11837.0,277,UPI,Morning,
Curtice Advani,India,70% Dark Bites,05-07-2022,2282.0,44,UPI,Afternoon,
Mallorie Waber,USA,Manuka Honey Choco,04-07-2022,5425.0,96,Cash,Morning,
Dotty Strutley,UK,70% Dark Bites,20-06-2022,1267.0,216,Card,Evening,
Gunar Cockshoot,Australia,Almond Choco,25-01-2022,3752.0,424,Card,Evening,
Kaine Padly,New Zealand,Spicy Special Slims,01-07-2022,7728.0,37,Card,Morning,
Gigi Bohling,USA,50% Dark Bites,13-04-2022,2296.0,59,Cash,Evening,
Beverie Moffet,UK,Smooth Sliky Salty,04-05-2022,4403.0,76,Cash,Afternoon,
Beverie Moffet,Australia,Baker's Choco Chips,04-08-2022,3192.0,109,Cash,Evening,
Beverie Moffet,India,70% Dark Bites,01-06-2022,448.0,146,UPI,Afternoon,
Jehu Rudeforth,UK,Choco Coated Almonds,22-04-2022,4270.0,185,Card,Evening,
Kaine Padly,USA,50% Dark Bites,03-08-2022,70.0,27,Card,Morning,
Ches Bonnell,USA,Orange Choco,10-06-2022,1743.0,69,Card,Evening,
Gunar Cockshoot,UK,Manuka Honey Choco,27-06-2022,6762.0,46,Cash,Evening,
Marney O'Breen,Australia,Smooth Sliky Salty,03-01-2022,3745.0,170,Cash,Afternoon,
Marney O'Breen,India,After Nines,11-07-2022,2639.0,179,Card,Evening,
Ches Bonnell,New Zealand,Milk Bars,17-08-2022,4389.0,126,Cash,Evening,
Rafaelita Blaksland,USA,Fruit & Nut Bars,18-01-2022,2604.0,65,Cash,Morning,
Ches Bonnell,India,Organic Choco Syrup,08-03-2022,16569.0,99,UPI,Afternoon,
Mallorie Waber,Australia,Orange Choco,07-03-2022,14658.0,275,Cash,Morning,
Husein Augar,India,70% Dark Bites,09-05-2022,6454.0,157,Card,Evening,
Barr Faughny,New Zealand,85% Dark Bars,23-05-2022,2100.0,157,Cash,Morning,
Madelene Upcott,UK,Caramel Stuffed Bars,15-04-2022,161.0,145,Card,Morning,
Gigi Bohling,Australia,Drinking Coco,27-07-2022,2807.0,139,Card,Afternoon,
Marney O'Breen,Canada,Choco Coated Almonds,22-08-2022,2639.0,406,Cash,Afternoon,
Ches Bonnell,USA,70% Dark Bites,11-05-2022,4571.0,122,Cash,Evening,
Madelene Upcott,India,Organic Choco Syrup,26-01-2022,4781.0,38,Card,Morning,
Barr Faughny,USA,50% Dark Bites,14-04-2022,13034.0,117,Cash,Evening,
Dennison Crosswaite,New Zealand,Mint Chip Choco,05-04-2022,6454.0,417,Cash,Afternoon,
Marney O'Breen,New Zealand,Smooth Sliky Salty,14-06-2022,8484.0,57,Cash,Morning,
Brien Boise,Canada,Almond Choco,13-04-2022,4781.0,125,Cash,Evening,
Beverie Moffet,Australia,White Choc,27-06-2022,2240.0,166,Card,Evening,
Dotty Strutley,Australia,Eclairs,26-01-2022,6979.0,3,Card,Evening,
Barr Faughny,UK,White Choc,05-07-2022,1652.0,72,Cash,Morning,
Beverie Moffet,Canada,Baker's Choco Chips,11-01-2022,13447.0,95,Card,Afternoon,
Kelci Walkden,USA,White Choc,07-03-2022,9422.0,22,Card,Morning,
Kaine Padly,Canada,50% Dark Bites,04-03-2022,8687.0,100,Cash,Afternoon,
Karlen McCaffrey,Canada,Organic Choco Syrup,15-07-2022,2415.0,312,Cash,Afternoon,
Kaine Padly,UK,Peanut Butter Cubes,11-05-2022,6272.0,86,Card,Afternoon,
Karlen McCaffrey,USA,Milk Bars,27-01-2022,4389.0,7,Card,Afternoon,
Karlen McCaffrey,India,Orange Choco,27-06-2022,3122.0,149,UPI,Morning,
Ches Bonnell,India,Smooth Sliky Salty,03-08-2022,8043.0,18,Cash,Morning,
Wilone O'Kielt,New Zealand,Mint Chip Choco,19-08-2022,11662.0,242,Card,Afternoon,
Wilone O'Kielt,Australia,Fruit & Nut Bars,15-06-2022,392.0,102,Card,Afternoon,
Dennison Crosswaite,UK,Peanut Butter Cubes,07-02-2022,8925.0,158,Card,Evening,
Karlen McCaffrey,Australia,Almond Choco,08-07-2022,7294.0,128,Cash,Morning,
Dennison Crosswaite,India,Milk Bars,21-04-2022,1526.0,96,UPI,Morning,
Ches Bonnell,UK,Mint Chip Choco,08-04-2022,2688.0,209,Cash,Evening,
Husein Augar,Australia,50% Dark Bites,19-08-2022,14889.0,52,Card,Afternoon,
Jan Morforth,India,Fruit & Nut Bars,04-05-2022,2912.0,55,UPI,Morning,
Mallorie Waber,USA,85% Dark Bars,11-05-2022,2632.0,108,Card,Evening,
Mallorie Waber,USA,Eclairs,22-03-2022,6328.0,51,Card,Morning,
Dennison Crosswaite,Canada,Spicy Special Slims,10-08-2022,2527.0,216,Cash,Evening,
Dennison Crosswaite,USA,Fruit & Nut Bars,04-05-2022,1414.0,318,Cash,Morning,
Kelci Walkden,USA,99% Dark & Pure,18-08-2022,7714.0,238,Cash,Afternoon,
Dotty Strutley,Canada,Raspberry Choco,03-08-2022,4347.0,238,Card,Afternoon,
Marney O'Breen,New Zealand,Milk Bars,14-01-2022,7490.0,315,Card,Afternoon,
Madelene Upcott,Australia,Choco Coated Almonds,08-04-2022,2058.0,72,Cash,Evening,
Kelci Walkden,UK,Orange Choco,01-08-2022,3640.0,3,Cash,Morning,
Dennison Crosswaite,Canada,Eclairs,15-03-2022,455.0,45,Cash,Afternoon,
Karlen McCaffrey,India,Mint Chip Choco,15-07-2022,10990.0,184,Card,Morning,
Barr Faughny,New Zealand,Almond Choco,13-01-2022,5558.0,127,Cash,Morning,
Mallorie Waber,Australia,85% Dark Bars,26-08-2022,2541.0,53,Card,Evening,
Ches Bonnell,Canada,Eclairs,10-01-2022,1876.0,172,Card,Afternoon,
Gigi Bohling,Australia,White Choc,11-05-2022,5523.0,87,Cash,Morning,
Beverie Moffet,New Zealand,85% Dark Bars,30-08-2022,11200.0,22,Card,Evening,
Kaine Padly,USA,Caramel Stuffed Bars,21-07-2022,5593.0,122,Card,Morning,
Mallorie Waber,Australia,Almond Choco,01-08-2022,7882.0,125,Card,Morning,
Brien Boise,Canada,85% Dark Bars,17-02-2022,10241.0,259,Card,Evening,
Brien Boise,Australia,Drinking Coco,27-07-2022,6832.0,156,Cash,Afternoon,
